subject,region,n_electrodes,condition,layer,model,observed_r2,p_value,n_permutations_used
1,G_front_middle,3,overall,late,GPT,-0.04343235492706299,0.6873126873126874,1000
1,G_front_middle,3,overall,late,T5,-0.13728642463684082,0.6503496503496503,1000
1,G_front_middle,3,overall,last,BERT,-0.0005549192428588867,0.28471528471528473,1000
1,G_front_middle,3,overall,last,GPT,-0.04275941848754883,0.7632367632367633,1000
1,G_front_middle,3,overall,last,T5,-0.0023473501205444336,0.5034965034965035,1000
1,G_front_middle,3,a,early,BERT,0.03309023380279541,0.004995004995004995,1000
1,G_front_middle,3,a,early,GPT,-0.06504201889038086,0.5854145854145855,1000
1,G_front_middle,3,a,early,T5,-0.2788872718811035,0.7942057942057942,1000
1,G_front_middle,3,a,middle,BERT,0.009080648422241211,0.27972027972027974,1000
1,G_front_middle,3,a,middle,GPT,-0.07625341415405273,0.5374625374625375,1000
1,G_front_middle,3,a,middle,T5,-0.3050452470779419,0.7692307692307693,1000
1,G_front_middle,3,a,late,BERT,-0.0017718076705932617,0.35764235764235763,1000
1,G_front_middle,3,a,late,GPT,-0.07701599597930908,0.5584415584415584,1000
1,G_front_middle,3,a,late,T5,-3.0744900703430176,0.7712287712287712,1000
1,G_front_middle,3,a,last,BERT,0.018561840057373047,0.16883116883116883,1000
1,G_front_middle,3,a,last,GPT,-0.062067389488220215,0.5224775224775224,1000
1,G_front_middle,3,a,last,T5,-0.007550597190856934,0.6883116883116883,1000
1,G_front_middle,3,v,early,BERT,-0.020315170288085938,0.4865134865134865,1000
1,G_front_middle,3,v,early,GPT,-0.08995318412780762,0.5304695304695305,1000
1,G_front_middle,3,v,early,T5,-0.25148189067840576,0.5234765234765235,1000
1,G_front_middle,3,v,middle,BERT,-0.03571581840515137,0.5534465534465535,1000
1,G_front_middle,3,v,middle,GPT,-0.12029564380645752,0.5404595404595405,1000
1,G_front_middle,3,v,middle,T5,-0.2603297233581543,0.46153846153846156,1000
1,G_front_middle,3,v,late,BERT,-0.04714047908782959,0.5604395604395604,1000
1,G_front_middle,3,v,late,GPT,-0.12324440479278564,0.5264735264735265,1000
1,G_front_middle,3,v,late,T5,-0.3698023557662964,0.2087912087912088,1000
1,G_front_middle,3,v,last,BERT,-0.029361248016357422,0.5374625374625375,1000
1,G_front_middle,3,v,last,GPT,-0.09383726119995117,0.4985014985014985,1000
1,G_front_middle,3,v,last,T5,-0.017577171325683594,0.4035964035964036,1000
1,G_front_middle,3,GS,early,BERT,-0.12730848789215088,0.4935064935064935,1000
1,G_front_middle,3,GS,early,GPT,-0.2674182653427124,0.7412587412587412,1000
1,G_front_middle,3,GS,early,T5,-0.3683450222015381,0.6553446553446554,1000
1,G_front_middle,3,GS,middle,BERT,-0.12209129333496094,0.3926073926073926,1000
1,G_front_middle,3,GS,middle,GPT,-0.2290210723876953,0.6283716283716284,1000
1,G_front_middle,3,GS,middle,T5,-0.3800225257873535,0.7012987012987013,1000
1,G_front_middle,3,GS,late,BERT,-0.08899879455566406,0.20679320679320679,1000
1,G_front_middle,3,GS,late,GPT,-0.21941852569580078,0.5914085914085914,1000
1,G_front_middle,3,GS,late,T5,-0.03820478916168213,0.03296703296703297,1000
1,G_front_middle,3,GS,last,BERT,-0.10011661052703857,0.14585414585414586,1000
1,G_front_middle,3,GS,last,GPT,-0.2539675235748291,0.7212787212787213,1000
1,G_front_middle,3,GS,last,T5,-0.13119149208068848,0.6253746253746254,1000
1,G_front_middle,3,GNS,early,BERT,-0.03794407844543457,0.7102897102897103,1000
1,G_front_middle,3,GNS,early,GPT,-0.11766088008880615,0.6293706293706294,1000
1,G_front_middle,3,GNS,early,T5,-0.14491963386535645,0.6173826173826173,1000
1,G_front_middle,3,GNS,middle,BERT,-0.06016647815704346,0.7332667332667333,1000
1,G_front_middle,3,GNS,middle,GPT,-0.1346285343170166,0.6133866133866134,1000
1,G_front_middle,3,GNS,middle,T5,-0.1429678201675415,0.6083916083916084,1000
1,G_front_middle,3,GNS,late,BERT,-0.06886494159698486,0.7732267732267732,1000
1,G_front_middle,3,GNS,late,GPT,-0.13548791408538818,0.6273726273726273,1000
1,G_front_middle,3,GNS,late,T5,-0.4168970584869385,0.8761238761238761,1000
1,G_front_middle,3,GNS,last,BERT,-0.06056678295135498,0.8641358641358642,1000
1,G_front_middle,3,GNS,last,GPT,-0.10847103595733643,0.5974025974025974,1000
1,G_front_middle,3,GNS,last,T5,-0.028880715370178223,0.5444555444555444,1000
1,G_front_middle,3,NGNS,early,BERT,0.028613924980163574,0.03496503496503497,1000
1,G_front_middle,3,NGNS,early,GPT,-0.08772385120391846,0.6203796203796204,1000
1,G_front_middle,3,NGNS,early,T5,-0.14248430728912354,0.4195804195804196,1000
1,G_front_middle,3,NGNS,middle,BERT,0.023984134197235107,0.2087912087912088,1000
1,G_front_middle,3,NGNS,middle,GPT,-0.09184741973876953,0.5934065934065934,1000
1,G_front_middle,3,NGNS,middle,T5,-0.10560929775238037,0.46153846153846156,1000
1,G_front_middle,3,NGNS,late,BERT,0.011885225772857666,0.32667332667332666,1000
1,G_front_middle,3,NGNS,late,GPT,-0.09208929538726807,0.6193806193806194,1000
1,G_front_middle,3,NGNS,late,T5,-0.14869606494903564,0.5364635364635365,1000
1,G_front_middle,3,NGNS,last,BERT,0.020946741104125977,0.15584415584415584,1000
1,G_front_middle,3,NGNS,last,GPT,-0.0839695930480957,0.6003996003996004,1000
1,G_front_middle,3,NGNS,last,T5,-0.0003705024719238281,0.3926073926073926,1000
1,G_front_sup,5,overall,early,BERT,-0.006400108337402344,0.6363636363636364,1000
1,G_front_sup,5,overall,early,GPT,-0.08539628982543945,0.968031968031968,1000
1,G_front_sup,5,overall,early,T5,-0.2763810157775879,0.4875124875124875,1000
1,G_front_sup,5,overall,middle,BERT,-0.013569355010986328,0.5844155844155844,1000
1,G_front_sup,5,overall,middle,GPT,-0.1510859727859497,0.9920079920079921,1000
1,G_front_sup,5,overall,middle,T5,-1.0330274105072021,0.8421578421578422,1000
1,G_front_sup,5,overall,late,BERT,-0.029656648635864258,0.7812187812187812,1000
1,G_front_sup,5,overall,late,GPT,-0.1523137092590332,0.987012987012987,1000
1,G_front_sup,5,overall,late,T5,-0.25195789337158203,0.8161838161838162,1000
1,G_front_sup,5,overall,last,BERT,-0.018105030059814453,0.7982017982017982,1000
1,G_front_sup,5,overall,last,GPT,-0.12077820301055908,0.984015984015984,1000
1,G_front_sup,5,overall,last,T5,-0.010929226875305176,0.8541458541458542,1000
1,G_front_sup,5,a,early,BERT,-0.013215184211730957,0.7122877122877123,1000
1,G_front_sup,5,a,early,GPT,-0.2066035270690918,0.967032967032967,1000
1,G_front_sup,5,a,early,T5,-0.396317720413208,0.9070929070929071,1000
1,G_front_sup,5,a,middle,BERT,-0.027997732162475586,0.6483516483516484,1000
1,G_front_sup,5,a,middle,GPT,-0.16968309879302979,0.8111888111888111,1000
1,G_front_sup,5,a,middle,T5,-0.4314521551132202,0.913086913086913,1000
1,G_front_sup,5,a,late,BERT,-0.05469357967376709,0.8741258741258742,1000
1,G_front_sup,5,a,late,GPT,-0.17145764827728271,0.7832167832167832,1000
1,G_front_sup,5,a,late,T5,-0.6167224645614624,0.4405594405594406,1000
1,G_front_sup,5,a,last,BERT,-0.024155259132385254,0.7702297702297702,1000
1,G_front_sup,5,a,last,GPT,-0.18075013160705566,0.9150849150849151,1000
1,G_front_sup,5,a,last,T5,-0.009438633918762207,0.5004995004995005,1000
1,G_front_sup,5,v,early,BERT,-0.023409485816955566,0.951048951048951,1000
1,G_front_sup,5,v,early,GPT,-0.04277634620666504,0.5184815184815185,1000
1,G_front_sup,5,v,early,T5,-0.11734354496002197,0.5824175824175825,1000
1,G_front_sup,5,v,middle,BERT,-0.031304121017456055,0.9020979020979021,1000
1,G_front_sup,5,v,middle,GPT,-0.05665123462677002,0.5044955044955045,1000
1,G_front_sup,5,v,middle,T5,-0.1298975944519043,0.5394605394605395,1000
1,G_front_sup,5,v,late,BERT,-0.03685617446899414,0.8451548451548452,1000
1,G_front_sup,5,v,late,GPT,-0.05747520923614502,0.46053946053946054,1000
1,G_front_sup,5,v,late,T5,-0.22481584548950195,0.2547452547452547,1000
1,G_front_sup,5,v,last,BERT,-0.02493894100189209,0.8511488511488512,1000
1,G_front_sup,5,v,last,GPT,-0.043833017349243164,0.4975024975024975,1000
1,G_front_sup,5,v,last,T5,-0.01703822612762451,0.8751248751248751,1000
1,G_front_sup,5,GS,early,BERT,0.025899052619934082,0.03396603396603397,1000
1,G_front_sup,5,GS,early,GPT,0.05465131998062134,0.1258741258741259,1000
1,G_front_sup,5,GS,early,T5,-0.012362122535705566,0.22577422577422576,1000
1,G_front_sup,5,GS,middle,BERT,0.09535384178161621,0.001998001998001998,1000
1,G_front_sup,5,GS,middle,GPT,0.10398823022842407,0.054945054945054944,1000
1,G_front_sup,5,GS,middle,T5,-0.008718490600585938,0.2077922077922078,1000
